name,latitude,longitude,accepted_materials,recycled_products,materials_processed,capacity
PB Solutions GmbH,48.791348,8.6516788,"PET, PP, PA, PS, PC, PE, PVC, HDPE, ABS, POM, PBT, SAN, TPE","Granules/Pellets, Flakes","70,000",
Pekutherm GmbH,49.9889191,7.9803057,"PC, PMMA",Flakes,"5,000",
Pet Recycling GmbH,48.6794475,9.689874,PET,Flakes,"13,000",
PFR Nord GmbH,54.0812274,9.663787,"PET, PP, PE",Flakes,,
Plastic-Partner Bralten & Evers GmbH,51.8083496,6.5543003,"PET, PP, PA, PS, PC, PE, ABS, POM, PMMA, PBT, SAN, TPE","Granules/Pellets, Flakes",,
Polyten Recycling GmbH,52.1743233,8.8125378,PVC,"Granules/Pellets, Flakes",,
ProTec-Recycling GmbH,51.6583574,7.6402944,"PP, PA, PS, PC, PE, PVC, ABS, POM, SAN","Granules/Pellets, Flakes",,
R.Plast Kunststoffaufbereitungs- und Handels-GmbH,50.04612,10.2372966,"PP, PS, PE, ABS","Granules/Pellets, Flakes",,
RCS Recyling GmbH,49.2769053,7.1635637,Waste Plastic,"Granules/Pellets, Flakes",,
RCS Rohstoffverwertung GmbH,51.683355,7.6153811,PET,"Granules/Pellets, Flakes",,
RDB plastics GmbH,51.4534764,6.7325141,EPS,"Granules/Pellets, Flakes",,
RDG Kunststoffe GmbH,47.77716,10.48219,"PET, PP, PA, PS, PC, PE, HDPE, LDPE, ABS, ASA, POM, PMMA, TPE",Granules/Pellets,,"4,000"
RE Plano GmbH,51.6194084,7.4657153,"PP, PA, PS, PE",Granules/Pellets,,
Re-Plast GmbH,51.1768179,7.5867072,"PP, PA, PS, PC, HDPE, LDPE, ABS","Granules/Pellets, Flakes",,
Re-Plast Kunststoff GmbH,51.84378,8.14905,"PP, HDPE, LDPE",Granules/Pellets,,
RecyTec GmbH,53.5163004,8.5732294,"PP, PS, PC, PVC, HDPE, LDPE, ABS, EPS","Granules/Pellets, Flakes",,
Reiling Kunststoff Recycling GmbH & Co. KG,51.9589122,8.2876586,PET,Flakes,,
Relux Kunststofftechnik GmbH & Co. KG,52.1691589,11.6073093,"HDPE, LDPE, PP",Flakes,,
Remondis Recycling GmbH & Co. KG,51.4976228,6.9599467,"PET, HDPE","Granules/Pellets, Flakes",,
Remondis SE & Co. KG,51.6168101,7.4634592,Waste Plastic,Granules/Pellets,"22,400",
Reno Kunststoffprodukte GmbH,49.19889,8.20697,"PP, PA, PS, PE, ABS",Granules/Pellets,,
Repolymer Handelsgesellschaft mbH,51.19623,6.54145,"PEEK, PVDF","Granules/Pellets, Flakes",,
RetoPlast GmbH,50.8143936,6.2387326,"PP, PA, PC, HDPE, LDPE, ABS","Granules/Pellets, Flakes",,
RetroTec Kunststoff und Recycling GmbH,52.3965158,8.9618269,PVC,Flakes,,
RevTech GmbH,50.1593727,9.1589484,Waste Plastic,"Granules/Pellets, Flakes",,
Reyond GmbH,51.286709,9.52969,Waste Plastic,Flakes,"14,800",
Rissland Kunststoffe GmbH,50.5595599,11.0600435,"PP, PA, PC, HDPE, LDPE, ABS, TPE",Granules/Pellets,,
Romplast Regenerat GmbH & Co. KG,50.14329,8.8458,PE,Granules/Pellets,,
RSG Kunststoff-Recycling GmbH,48.5476214,9.2730521,"PP, PA, PS, PC",Flakes,,
RSH Polymere GmbH,53.45593,10.00562,"PP, PC, HDPE, LDPE, LLDPE, ABS, HIPS, TPE",Granules/Pellets,,
Rüsing Kunststoffe GmbH,51.4863822,8.4438728,Waste Plastic,"Granules/Pellets, Flakes",,
RW-Plast Kunststoffverarbeitung,50.7027618,11.6025463,"PA, PC, HDPE, LDPE, ABS, PBT","Granules/Pellets, Flakes",,
S & B Kunststoffrecycling GmbH,52.2345438,8.9340293,Waste Plastic,Flakes,,
S + D Polymer GmbH,50.9046134,11.4488363,"PP, PA, PS, PC, HDPE, LDPE, ABS, POM, PBT, SAN, TPE","Granules/Pellets, Flakes",,
Sabine Mohr GmbH,53.4782582,10.2042729,"ABS, PA, PBT, PC, PC/ABS, PE, PET, PMMA, PP, PS, SAN",Flakes,,
Saneo Plastic GmbH,51.62337,6.212,"ABS, PE, PP, PS",Flakes,,
Sauer Kunststoffe GmbH,49.5417826,11.1500107,"PP, PE",Granules/Pellets,,
Schatz Umwelt GmbH,51.4485054,11.1795921,Waste Plastic,Flakes,,
Schenker Industrie- und Städtereinigungs GmbH,48.4423141,11.5183181,"PP, PA, PS, PC, PVC, HDPE, ABS",Flakes,,
ScheZe GmbH,48.9548016,8.8684935,Waste Plastic,Granules/Pellets,,
Schmaus Kunststoffaufbereitung,48.5900336,11.0870594,"PP, PC, PE, ABS","Granules/Pellets, Flakes",,
SEG Umwelt-Service GmbH,49.488383,6.6091561,"PS, ABS",Granules/Pellets,,
SL Recycling GmbH,52.7161768,8.1633157,"PP, LDPE, Waste Plastic",Granules/Pellets,"20,000","20,000"
SM-Polymer,51.121819,10.6335166,"ABS, HDPE, LDPE, PA, PC, PC/ABS, PE, PEEK, PES, PMMA, POM, PP, PPS, PS, PVC, SAN, TPE","Granules/Pellets, Flakes",,
Sobernheimer Rohstoff-Kontor GmbH,49.8595448,7.5967928,"PP, PS, PVC, HDPE, LDPE, ABS","Granules/Pellets, Flakes",,"17,000"
SORTcycle GmbH,50.61205,13.10467,Waste Plastic,Granules/Pellets,,
Steinbeis PolyVert Fulda GmbH,50.5929908,9.5212182,"PET, PP, HDPE","Granules/Pellets, Flakes",,
STF Group,48.678585,13.2978035,PET,"Granules/Pellets, Flakes",,"150,000"
Synaplast GmbH,52.869391,7.2434056,"PE, PET, PP, PVC",Flakes,,"15,000"
SYNCO Polymer Recycling GmbH,52.6091359,6.9735437,"ABS, HDPE, PET, PMMA, PP, PS",Flakes,,
Sysplast GmbH,49.4224996,11.142829,"PC, ABS, HIPS",Granules/Pellets,"2,300",
Tenne-Plastics GmbH,49.9128012,8.4894979,"PA, PC, ABS, POM, PBT","Granules/Pellets, Flakes",,
Tetralog Kunststoffrecycling e.K.,50.6539127,6.1805789,"PET, PP, PA, PS, PC, PVC, HDPE, LDPE, ABS, POM, PBT, TPE","Granules/Pellets, Flakes",,
Texplast GmbH,51.6593961,12.2579649,PET,"Granules/Pellets, Flakes","54,000",
Thees Kunststoffverarbeitung GmbH,52.6675768,8.1348106,"PP, PE, HDPE",Flakes,,
TKM Materialveredelung GmbH,49.2065554,8.1674895,"HDPE, PP",Flakes,,
UPR Plastik-Recycling-Gesellschaft mbH,50.2572952,10.8222017,"PA, PC/ABS, PE, PP, PS",Granules/Pellets,,
Uralan Kunststoffverarbeitung GmbH,48.4159872,9.4695474,"PP, PA, PE, PVC, TPE",Granules/Pellets,,
VEKA Umwelttechnik GmbH,51.0185874,10.4955483,PVC,Granules/Pellets,,
Veolia PET Germany GmbH,51.165691,10.451526,PET,"Granules/Pellets, Flakes","100,000",
Vogt-Plastic GmbH,47.5896468,7.768779,"PP, PS, PE",Granules/Pellets,,
Walter Zink GmbH,48.40715,10.42616,Waste Plastic,Granules/Pellets,,
Wandaa GmbH,48.92777,9.24006,"PP, HDPE, LDPE","Granules/Pellets, Flakes",,
Wela-Plast GmbH,52.7978316,8.4048937,"PP, PA, PS, PE, HDPE, LDPE, ABS, EPS, TPE","Granules/Pellets, Flakes",,
Weser Kunststofftechnik GmbH & Co. KG,52.55581801,8.977782664,PVC,"Granules/Pellets, Flakes",,
Wewatec GmbH,49.3309669,12.2123432,Waste Plastic,Granules/Pellets,,
Wilken Plastics Energy GmbH,52.73561,7.10224,"PET, PP, HDPE","Granules/Pellets, Flakes",,
Wipag Deutschland GmbH,48.7389875,11.2208722,"ABS, PA, PC/ABS, PP",Granules/Pellets,,
WIS Kunststoffe GmbH,50.76893,10.32674,"ABS, ASA, EVA, GPPS, HDPE, HIPS, LCP, LDPE, LLDPE, PA, PBT, PC, PC/ABS, PEI, PET, PMMA, POM, PP, PPCP, PVC, SAN, TPE, TPU","Granules/Pellets, Flakes",,
WMK Plastics GmbH,51.2111794,7.0475125,"PA, PC, ABS, POM, PBT",Granules/Pellets,,
ZME® Elektronik Recycling GmbH,50.6025626,8.6231903,"EPDM, PP",Flakes,,
ZWS Recycling GmbH,49.015805,12.1379391,PET,Flakes,,
[Re] Waste,53.5460983,-113.4937266,"HDPE, HIPS, LDPE, LLDPE, MDPE, PC, PE, PP",Flakes,"1,000",
2M Ressources Inc.,45.3149937,-73.2749486,"PET, PP, HDPE, ABS",Granules/Pellets,,
Amstar Recyling,43.7953505,-79.252188,"PET, HDPE",Flakes,,
Antek Madison Plastics Corporation,43.8176338,-79.2333083,"PET, PP, PA, PS, PC, ABS","Granules/Pellets, Flakes",,
Bay Polymers,43.7380321,-79.6015044,HDPE,Flakes,,
Bomet Polymer,43.1506398,-80.2581045,Waste Plastic,Granules/Pellets,,
Can-Am Recycling Inc.,42.2736435,-82.431607,"ABS, ASA, HDPE, PA, PC/ABS, PP, TPO",Flakes,,
Canada Fibers Ltd.,43.6061366,-79.5275973,"PET, PP, HDPE","Granules/Pellets, Flakes",,
Canada Risheng Plastic Ltd,43.8221462,-79.0637111,"PET, PP, PA, PS, PC, PE, HDPE, MDPE, LDPE, LLDPE, ABS, EPS, HIPS, POM, PMMA, PBT, SAN, TPE","Granules/Pellets, Flakes","24,000","24,000"
Canei Corp.,43.7219723,-79.3360799,"PET, PP, PVC, HDPE, LDPE, ABS, HIPS","Granules/Pellets, Flakes",,
Dacol Plastics Limited,43.5082718,-80.5340064,"ABS, HDPE, HIPS, HMW, LDPE, PC/ABS, PET, PP, PS, PVC, TPO","Granules/Pellets, Flakes",,
Doon Resins Inc,43.6933189,-79.7261018,"PP, PA, PVC, HDPE, HIPS","Granules/Pellets, Flakes",,
Ecology Recycling & Consulting,43.6866538,-79.7046666,"ABS, HDPE, LDPE, PE, PET, PMMA, PP, PVC","Granules/Pellets, Flakes",,
EFS-plastics Inc.,43.7146186,-80.9610214,"HDPE, LDPE, PE, PP",Granules/Pellets,"31,751",
EPL Plastics,43.1560224,-80.216202,"HDPE, LDPE, LLDPE, MDPE, PET, PP, PS","Granules/Pellets, Flakes",,
"Exxel Polymers, Inc.",45.3923939,-72.7823704,"HDPE, LDPE, PC, PP",Granules/Pellets,,
Fraser Plastics Ltd.,49.1892124,-122.5732586,HDPE,"Granules/Pellets, Flakes",,
Green Enviro Inc.,43.683898,-79.7834176,"PP, PE, ABS, ASA, POM","Granules/Pellets, Flakes",,
Green Processing Company Inc.,42.2826658,-83.0258102,"ABS, ASA, HDPE, HMW, PA, PBT, PC, PC/ABS, PMMA, POM, PP, TPE, TPO",Flakes,"16,332",
Green Solutions Industries International Inc.,43.7141315,-79.6830106,"ABS, EVA, HDPE, LDPE, LLDPE, MDPE, PA, PC, PET, PMMA, PP, TPE, TPO, TPU","Granules/Pellets, Flakes","5,448",
Greenovative Solutions Inc.,45.4855457,-73.6930287,"HDPE, LDPE","Granules/Pellets, Flakes",,
Hana Recycling,45.4326166,-73.615726,"HDPE, LDPE, PET, PP, PVC",Flakes,,
JDB Plastic Recycling Inc.,43.6379557,-79.6434527,"PP, HDPE, LDPE, HIPS","Granules/Pellets, Flakes",,
Kal-Polymers Inc,43.5711095,-79.6484395,"ABS, GPPS, HDPE, HIPS, LDPE, LLDPE, PA, PC, PC/ABS, PE, PET, PP, PPCP, TPO",Granules/Pellets,,
Kanata Recycling Brokerage,45.3088185,-75.8986835,PET,Flakes,,
Lavergne,45.6196439,-73.564907,"ABS, HIPS, PC, PET, PP",Granules/Pellets,,
Mel Tech Plastics,42.2674183,-82.4126567,HDPE,Granules/Pellets,,
Merlin Plastics,49.1751347,-122.9399609,"HDPE, LDPE, PET, PP","Granules/Pellets, Flakes",,
Modix Plastique Inc.,45.6404618,-74.3117051,"LDPE, LLDPE",Granules/Pellets,,
Montreal Polymers,45.4870085,-73.6809696,"HDPE, LDPE, PP, PVC","Granules/Pellets, Flakes",,
Nam Polymers Inc.,43.7036244,-79.6070324,"PET, PP, HDPE, LDPE, ABS, HIPS, PBT","Granules/Pellets, Flakes",,
NexCycle Canada Ltd.,56.130366,-106.346771,"PP, HDPE, LDPE, LLDPE",Granules/Pellets,,"50,000"
Norwich Plastics,43.396539,-80.350661,PVC,Granules/Pellets,"22,680",
Paradise Distribution & Recycling,52.4963029,13.4464621,"HDPE, LDPE, PP","Granules/Pellets, Flakes",,
Plastimum,45.4012543,-71.9674168,"HDPE, PP, PS","Granules/Pellets, Flakes",,
Plastrec Inc.,46.0078869,-73.450024,PET,"Granules/Pellets, Flakes",,
PolyCycle Environmental Inc.,50.9820447,-113.979973,"ABS, EVA, HDPE, LDPE, PA, PC, PET, PMMA, PP, PS, PVC, TPE, TPO, TPU",Granules/Pellets,,
"Polykar, Inc.",45.5007743,-73.7598876,PE,Granules/Pellets,,
Polymer Recycle Inc.,45.1913299,-73.415451,"PP, PS, PVC, HDPE, LDPE",Granules/Pellets,,
Polystyvert Inc.,45.6210103,-73.5631875,PS,Granules/Pellets,,
Post Plastics Inc.,43.845527,-79.0340235,"PET, PP, PA, PC, PMMA",Flakes,,
PVC Enterprise Ltd.,43.7130669,-79.6623789,"PE, PVC","Granules/Pellets, Flakes",,
Reclaim Plastics,49.1931091,-122.9577444,Waste Plastic,Flakes,,
Repro Plastics Canada,45.3975245,-73.9586642,"HDPE, LDPE, PA, PC, PET, PP, PVC","Granules/Pellets, Flakes",,
Revamp Polymers Inc.,43.6670283,-79.6843258,"PP, PS, PE",Granules/Pellets,,
ReVital Polymers,42.9574632,-82.3620164,"PE, PP",Granules/Pellets,,
Stayana International Trading,43.7714615,-79.4789837,"ABS, HDPE, LDPE, LLDPE, PA, PET, PP, PS, PVC, SAN, TPE, TPO","Granules/Pellets, Flakes",,
T2 Polymers Inc.,43.647124,-79.666625,Waste Plastic,"Granules/Pellets, Flakes",,
Target Recycling Services Inc.,43.8463373,-79.0352202,Waste Plastic,Flakes,,
Westcoast Plastic Recycling,49.1877468,-122.6601434,Waste Plastic,Granules/Pellets,,
